48
1871 1732 1416 1280 1098 1710 1087 1174 332 1959 245 1051 1589 1287 751 189 2245 100 1446 1636 811 853 1119 1861 300 1105 872 660 1772 181 1008 1622 93 1252 900 1108 1857 392 290 1067 1501 1783 1019 1153 1084 690 458 82 
540 1287 1484 872 378 1494 603 1769 1461 624 555 1034 2145 1179 2079 2018 2219 1202 713 601 1636 2281 637 1087 1452 687 2064 889 1596 1324 1330 1365 1103 1514 2149 1791 1326 1423 921 2061 2135 968 102 1589 585 1858 1509 2078 
495 466 2092 851 678 1717 868 2132 2285 1521 1416 1735 680 730 2235 972 1297 176 838 2158 316 614 1070 565 836 2174 622 216 535 1551 1494 1039 1755 2280 1664 1159 1532 1231 1258 1007 212 1250 1717 1839 1013 2079 761 441 
1046 1023 1091 2039 663 1084 556 228 178 1204 663 2231 2112 1894 1926 1977 293 921 2201 1592 1114 1307 1061 1684 1173 1447 493 630 663 352 1152 1057 274 1658 1071 992 1844 504 680 415 2004 655 1587 662 1336 1962 1929 1056 
385 135 1100 682 1716 894 296 1478 2149 1634 644 863 770 512 2276 2055 1465 2245 2270 109 775 1404 950 234 1502 1332 153 826 1906 319 1907 840 1953 87 109 289 1021 1756 774 523 1911 1337 1997 1455 1193 1380 1720 369 
2239 131 1572 2016 1283 1196 1386 1865 517 965 26 2150 1123 2186 2263 1332 1338 429 207 1250 41 1560 1493 2021 1022 1358 1308 40 768 495 1426 865 2009 858 470 2175 1053 1133 984 63 1147 2152 524 1758 127 495 1099 1001 
1025 1326 1862 1328 1582 23 167 2009 2096 454 2246 1168 1661 1542 1540 2268 953 237 968 397 841 1442 1044 2130 374 831 1475 1639 1849 2001 2145 1387 1449 1916 422 1359 510 1724 1169 1899 65 1222 1566 1707 1938 781 1699 998 
1813 1504 1485 2127 1146 1840 1585 516 2088 368 1169 452 262 405 174 1982 742 2109 453 1156 654 1772 423 1566 2147 881 120 1083 436 359 1796 1155 2208 2263 697 7 934 1019 1605 1498 455 285 1997 953 1114 670 454 2021 
1132 1043 628 2066 1745 394 253 1655 459 746 297 2054 1110 1400 1465 1206 14 374 864 251 958 230 1634 1880 902 108 1480 10 1960 1361 1853 485 1263 420 1161 1341 188 2171 1447 1787 2222 2135 1412 1487 2285 933 855 1412 
1044 2145 919 1903 1465 1493 926 257 921 895 728 636 613 17 2215 706 1059 402 727 841 67 1698 441 811 1599 1498 478 1882 749 1618 1650 1009 612 1084 1074 1701 1929 1197 1035 346 565 1660 337 1490 1796 1859 664 2176 
189 387 563 123 857 1764 583 910 1970 1433 394 2156 201 1250 413 1 1716 939 1796 1251 34 594 2238 2023 2188 1158 389 720 507 1098 1956 1315 1392 1049 1392 1814 243 1828 1124 1958 1339 183 221 1224 1782 1977 1390 439 
1975 1362 993 108 1658 423 1483 812 724 1729 2251 2107 1467 907 1119 942 751 2298 1378 862 261 1095 38 2041 2062 1880 298 1842 1512 2109 888 1304 1312 1493 1182 133 1923 2193 1094 941 64 2128 1908 2006 2235 106 1372 1318 
1008 969 222 1688 1410 1584 2207 1801 608 159 1989 111 1298 1999 2126 1320 678 1496 1294 368 1841 499 1603 2029 1028 1625 1750 1381 1901 586 2097 911 1831 1833 1207 2055 1887 196 1509 346 99 1970 1795 1857 489 982 1670 491 
2298 512 5 1395 1145 178 2262 881 1364 1023 1093 1196 1862 911 624 1773 1350 1472 1986 239 1935 2279 778 1906 1357 2228 567 1134 1249 1459 1202 101 1745 751 1624 2257 1871 1969 787 1469 1380 2150 20 368 2233 1950 1711 1603 
1794 1329 1490 916 520 124 1827 979 849 1225 1462 1722 2157 973 1128 1177 1248 1354 1754 2255 679 469 13 1109 2153 1714 1175 1396 2108 219 640 1687 784 799 700 827 700 1640 324 514 1699 789 2259 231 2050 901 826 1420 
217 1205 2144 432 884 257 1754 1212 1685 1031 1827 380 832 681 1912 2027 1827 1584 1362 1831 2207 2190 1921 387 887 444 226 1467 1300 322 1981 578 1906 725 1469 1208 1195 282 652 120 1054 137 1803 1869 1340 2156 2091 1092 
2031 1031 875 156 167 978 1006 986 1793 1762 312 1017 2070 1382 901 191 1374 76 1478 811 2112 1027 2105 11 2103 1884 1699 1193 1186 1930 1325 933 1320 1096 2265 1246 197 25 1695 906 1142 1963 1320 2150 1917 1621 1574 1543 
1106 1727 78 590 38 1185 1011 505 788 2212 576 1879 2023 356 18 532 130 1943 1648 1074 1264 2119 1703 280 1033 2107 1286 964 1725 2164 1587 1565 2048 979 1833 1892 1362 1752 2255 1992 1514 2181 565 792 1406 96 1645 1427 
433 920 1284 475 2074 1599 1564 1800 749 182 1575 473 585 1318 834 1030 1821 1834 2092 1201 183 1163 993 2042 235 291 1239 1970 1756 738 1748 551 1130 2031 1130 2078 1848 486 785 1758 344 2112 2015 1897 1942 1744 742 1734 
94 874 1322 889 843 1182 1085 1813 589 418 889 1256 2165 1357 730 980 352 1344 1141 829 1598 287 1177 286 1406 253 1153 2102 280 1238 1202 1888 1654 1077 247 769 1535 246 2039 1691 578 1574 624 1406 956 774 274 1437 
327 1071 1274 1150 543 463 1481 1099 1425 1041 865 6 2114 2203 1084 1242 793 1073 360 396 714 1655 35 528 1536 467 271 1336 550 1905 1810 2183 1491 2144 716 292 976 1753 950 490 1478 160 724 924 393 1412 790 2102 
2043 512 849 1887 158 2052 1236 506 442 717 170 987 807 2288 2156 2198 952 119 1472 1652 2116 1058 626 1919 850 719 557 1981 1632 756 1493 1145 976 584 132 700 1648 1921 2080 2267 1700 57 1942 1066 50 490 2229 206 
1450 1560 937 176 1904 142 18 1678 2152 448 2240 1323 1852 847 13 2215 845 1452 1752 1001 819 980 281 1336 2291 825 2086 745 700 961 129 2099 606 231 1883 1822 2120 2048 1706 666 572 2200 994 684 1425 763 595 195 
2084 1231 2078 297 989 2014 1749 661 2265 498 1710 1501 2105 2265 100 968 1670 648 2219 770 960 1628 2126 297 2 1147 230 1284 1491 1881 1592 1747 523 2135 300 1985 863 390 358 118 2188 648 1923 713 1820 663 498 1427 
